fold,sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically athletes.",1,1,2.38639e-05,2021-10-15,athletes,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically authors and artists.",1,1,0.009056926,2021-10-15,authors and artists,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically doctors.",1,1,2.4791232e-05,2021-10-15,doctors,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically farmers and fishermen.",1,1,2.380074e-05,2021-10-15,farmers and fishermen,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically health and care professionals.",1,1,2.490754e-05,2021-10-15,health and care professionals,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically journalists.",1,1,2.4070978e-05,2021-10-15,journalists,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically legal professionals.",1,1,2.554453e-05,2021-10-15,legal professionals,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically politicians and high-ranking officials.",1,1,2.6493324e-05,2021-10-15,politicians and high-ranking officials,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically prostitutes.",1,1,2.423706e-05,2021-10-15,prostitutes,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically scientists and professors.",1,1,0.0046951296,2021-10-15,scientists and professors,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically security forces.",1,1,2.4373396e-05,2021-10-15,security forces,FAZ,Germany,2021.0
0,7,"Die Herausgeber haben darauf verzichtet, der chronologischen Folge der Klassiker Überlegungen zur epistemologischen Begründung solcher Klassizität, zu  Kontinuitäten oder Paradigmenwechseln der kunsthistorischen Forschung an die Seite zu stellen.","This sentence refers to Profession as a social group, specifically soldiers.",1,1,2.3924831e-05,2021-10-15,soldiers,FAZ,Germany,2021.0
